application_id,report_date,status,days_past_due,balance
4931,2023-12-02,Current,0,207217.78
7041,2024-05-30,Current,0,33260.62
22399,2023-07-26,Current,0,397036.64
8149,2023-10-25,Current,0,767406.14
22791,2023-01-20,Current,0,75623.76
3679,2024-05-18,Current,0,174732.62
13693,2024-06-03,Late 60,81,253944.13
5932,2024-10-21,Current,0,21759.72
8869,2023-06-14,Current,0,88750.12
22800,2023-04-27,Current,0,31408.55
10234,2023-11-13,Late 30,48,101680.13
17972,2023-07-22,Current,0,485004.03
7157,2025-04-19,Current,0,340478.21
11737,2023-09-05,Late 30,51,472345.65
23730,2022-08-31,Current,0,54971.37
4368,2023-02-11,Current,0,22822.24
13589,2024-02-26,Current,0,11233.48
3974,2024-03-10,Current,0,15277.16
22675,2023-03-11,Current,0,203808.35
9103,2023-07-03,Current,0,25204.53
22154,2024-10-24,Late 30,43,140432.2
24207,2025-03-07,Current,0,232792.29
22807,2023-11-20,Current,0,8438.76
6856,2024-09-19,Current,0,261661.64
13834,2024-06-24,Current,0,467663.31
12363,2023-10-22,Current,0,113458.37
19807,2023-06-22,Current,0,569661.98
4593,2023-12-01,Current,0,77488.47
7599,2023-07-18,Current,0,480577.57
3313,2025-05-18,Current,0,79239.92
14928,2022-09-13,Late 30,35,356093.82
8268,2025-04-26,Current,0,41224.29
7422,2024-05-09,Current,0,479692.26
11417,2023-11-18,Current,0,92195.86
18125,2023-08-25,Current,0,249956.22
12187,2023-11-03,Late 60,75,35841.38
12447,2023-07-01,Current,0,303360.02
14135,2022-08-23,Late 30,44,123736.6
7472,2024-03-26,Current,0,252795.93
14435,2024-02-29,Late 30,54,259946.55
14409,2024-12-11,Current,0,266546.56
7501,2024-06-09,Current,0,90898.14
15284,2022-05-21,Current,0,831486.52
4211,2023-11-14,Current,0,261328.8
6275,2024-09-25,Current,0,577765.43
5925,2024-08-31,Current,0,267023.54
6605,2022-12-08,Late 30,33,341135.21
1925,2024-04-09,Current,0,46462.7
2958,2023-11-29,Current,0,25866.14
1049,2023-10-18,Current,0,369239.56
24378,2023-06-08,Current,0,8556.54
2143,2023-03-23,Default,93,117349.67
25264,2024-10-31,Current,0,59462.44
8042,2023-08-20,Current,0,110664.34
15466,2023-04-07,Current,0,208466.33
25714,2022-08-21,Default,171,245563.03
18758,2023-12-04,Current,0,469137.86
16892,2024-04-02,Current,0,373280.63
3988,2024-11-21,Default,164,304512.95
21591,2022-10-08,Current,0,258615.3
18395,2024-08-18,Current,0,142978.82
24161,2023-12-07,Current,0,312877.15
20226,2025-04-30,Current,0,375343.44
21838,2025-05-15,Current,0,151006.92
13443,2024-07-23,Current,0,147516.21
14531,2023-06-20,Current,0,301729.45
9547,2024-08-14,Current,0,35056.25
19413,2023-10-01,Current,0,427071.35
15728,2023-06-16,Late 30,31,201545.49
3939,2022-06-30,Current,0,59545.74
17149,2024-12-21,Current,0,793193.07
23326,2022-03-04,Late 30,56,121280.27
13470,2023-08-16,Current,0,424676.02
2622,2023-12-20,Late 30,32,272665.35
12964,2022-12-09,Current,0,75314.95
24441,2023-03-18,Current,0,60304.36
9674,2023-09-10,Current,0,11493.97
21773,2024-07-17,Current,0,617521.7
20421,2024-04-12,Current,0,46596.59
6576,2022-12-06,Current,0,375521.97
17801,2023-04-29,Current,0,177825.48
15336,2024-08-24,Late 60,61,386768.95
11637,2024-04-24,Late 30,58,887093.31
16744,2024-11-18,Current,0,284194.08
23874,2022-08-19,Current,0,163222.1
6254,2024-05-09,Default,170,263015.05
4407,2025-07-16,Current,0,182297.83
12606,2023-10-26,Current,0,193213.38
18018,2022-07-03,Current,0,109498.19
16112,2023-06-21,Current,0,131852.15
16443,2025-01-15,Current,0,365277.2
3144,2025-07-26,Current,0,165306.09
14472,2024-02-21,Current,0,32416.95
25601,2024-01-29,Current,0,280224.68
4232,2024-08-25,Default,92,28651.48
7668,2024-03-31,Current,0,369228.73
10765,2024-07-08,Current,0,518386.28
24134,2024-11-26,Current,0,131201.4
7739,2023-10-14,Late 30,38,638051.38
13494,2023-03-16,Current,0,66222.7
7524,2024-10-17,Current,0,638087.98
24833,2024-04-06,Late 30,52,110018.24
18214,2023-01-18,Current,0,131300.11
24030,2023-04-11,Current,0,151516.92
25273,2024-09-27,Current,0,97257.99
8381,2023-04-28,Late 30,36,271420.56
18267,2024-03-13,Default,163,414447.13
1831,2023-05-10,Current,0,198289.51
9222,2023-03-17,Current,0,60914.57
19489,2024-06-20,Current,0,43018.48
17405,2023-03-28,Default,124,21038.89
21665,2024-01-24,Current,0,584458.63
1825,2024-08-07,Current,0,509997.37
21526,2024-04-23,Current,0,350208.48
2740,2023-08-23,Current,0,812755.11
11688,2024-03-11,Current,0,249800.48
21272,2024-11-02,Current,0,209843.06
16937,2023-06-08,Late 30,30,829961.67
4129,2024-03-12,Current,0,176023.28
17902,2022-08-16,Current,0,180314.06
15900,2022-09-26,Current,0,307667.32
19479,2022-07-27,Current,0,6338.0
15899,2024-01-13,Current,0,398538.23
5281,2023-07-14,Current,0,215151.7
20550,2023-12-25,Current,0,54395.14
10774,2023-04-23,Current,0,208181.76
19413,2025-01-25,Current,0,217292.57
3241,2024-03-10,Late 30,31,120561.05
2200,2023-06-09,Late 30,31,734792.35
19182,2024-09-21,Late 30,59,16837.02
14031,2024-10-03,Current,0,20257.21
7077,2025-10-03,Late 30,58,644916.18
1145,2025-04-09,Current,0,77441.75
9538,2023-08-08,Current,0,65798.52
14501,2024-03-31,Current,0,251359.47
14201,2023-11-30,Current,0,381337.34
19145,2025-09-26,Current,0,529924.91
7408,2024-12-23,Current,0,82027.93
5676,2024-01-03,Current,0,144854.97
25506,2023-03-04,Current,0,75538.85
3682,2023-07-09,Current,0,603485.6
1588,2025-09-11,Current,0,96361.71
16010,2024-10-02,Current,0,171010.65
4459,2024-11-10,Current,0,179875.46
16141,2023-02-06,Current,0,142250.75
7765,2025-03-18,Current,0,490206.32
19809,2024-05-06,Current,0,235741.57
12867,2024-10-08,Current,0,129248.21
5005,2023-03-15,Current,0,382710.63
21663,2023-09-13,Current,0,391401.84
11140,2024-04-22,Current,0,323492.23
13061,2023-05-04,Current,0,15701.38
13934,2024-04-02,Current,0,74973.72
10509,2022-05-24,Current,0,281578.45
17524,2024-11-12,Current,0,186158.79
22030,2022-11-09,Late 30,52,192211.06
19414,2022-12-30,Current,0,47762.4
17983,2022-07-21,Current,0,641998.77
6661,2022-12-19,Current,0,802833.7
4233,2024-06-30,Current,0,488281.36
2167,2023-11-26,Current,0,317944.42
3984,2023-09-04,Current,0,355049.26
7934,2024-10-14,Current,0,13038.65
9776,2024-12-03,Current,0,94131.08
2200,2025-04-01,Current,0,478783.68
7389,2024-06-12,Current,0,209804.71
8407,2023-12-28,Current,0,321710.21
19474,2024-10-16,Current,0,420753.94
2839,2023-10-29,Current,0,517213.5
11699,2023-04-23,Default,106,372507.28
18901,2022-12-21,Current,0,111019.77
2077,2023-06-18,Current,0,230233.17
11249,2023-10-27,Current,0,42906.02
17269,2023-12-13,Current,0,438015.04
14046,2024-03-15,Default,137,175175.66
25559,2023-02-15,Current,0,338831.98
22199,2023-04-11,Late 30,49,214360.31
20205,2024-11-29,Current,0,303354.19
10385,2024-12-11,Late 30,41,76827.71
8308,2025-07-06,Late 60,61,603420.68
12869,2023-09-13,Current,0,234258.36
16006,2024-04-24,Current,0,75189.26
22554,2024-10-07,Current,0,34920.7
1985,2024-07-28,Default,95,105303.02
25845,2024-03-20,Late 30,56,299561.88
23652,2023-09-09,Current,0,520536.36
9317,2025-02-19,Current,0,507213.44
2936,2024-07-06,Default,93,33060.37
13386,2024-11-25,Current,0,35087.58
16865,2025-04-05,Current,0,514392.83
10001,2025-04-23,Current,0,338521.87
2442,2023-03-26,Current,0,136231.68
23329,2022-08-31,Late 60,88,587997.97
17266,2025-02-08,Current,0,111114.5
18523,2024-10-22,Current,0,23865.42
18883,2022-05-26,Current,0,72807.68
15084,2024-04-25,Late 60,72,834787.55
13375,2023-07-09,Default,116,274044.88
17439,2023-02-26,Current,0,358478.52
25766,2023-12-09,Current,0,41067.9
20648,2022-04-22,Late 30,38,19480.75
1409,2022-07-05,Current,0,58700.75
19478,2024-02-04,Late 30,42,755309.14
6979,2024-01-03,Late 30,41,429750.11
6959,2024-10-05,Current,0,671327.89
3978,2025-01-04,Current,0,143661.21
11921,2023-10-25,Current,0,656756.32
5996,2022-07-02,Current,0,355761.28
13730,2025-01-29,Current,0,741450.88
17187,2023-06-15,Current,0,141358.36
11316,2024-01-03,Current,0,353254.18
6352,2025-06-23,Current,0,89746.71
23612,2023-12-06,Current,0,751308.65
8025,2023-11-25,Current,0,114328.28
8361,2023-04-19,Current,0,145163.09
8622,2023-01-06,Current,0,292634.52
24288,2023-09-02,Current,0,35573.19
2684,2023-12-09,Current,0,82004.26
20489,2023-01-24,Current,0,287340.13
12181,2023-11-11,Current,0,852218.0
3179,2024-01-07,Current,0,18856.34
22864,2024-06-01,Current,0,171844.38
13061,2022-11-26,Current,0,14725.49
13012,2024-03-15,Current,0,513688.04
23871,2023-05-11,Current,0,146428.82
11080,2024-11-03,Current,0,244904.37
23167,2024-02-16,Current,0,131304.83
17532,2024-01-14,Current,0,34574.61
3595,2022-12-05,Late 30,54,291900.67
5792,2024-10-06,Current,0,186830.52
19308,2024-01-27,Current,0,359146.49
8914,2022-12-22,Current,0,388386.23
25496,2024-11-14,Current,0,120280.28
21580,2023-04-29,Current,0,61039.6
25758,2025-04-14,Current,0,113223.94
3158,2024-12-30,Current,0,197733.91
19921,2023-03-04,Late 30,49,15888.62
9276,2023-05-15,Current,0,343837.93
3692,2024-03-23,Current,0,327808.64
10922,2023-09-08,Current,0,52025.61
13468,2022-08-26,Late 30,46,434137.13
10871,2024-06-03,Current,0,344744.98
2043,2025-07-20,Late 30,47,54348.37
9314,2025-02-27,Current,0,267067.95
11389,2024-04-29,Late 60,76,264286.37
21664,2024-07-16,Current,0,158050.59
4090,2022-06-30,Current,0,54798.0
20970,2023-06-14,Current,0,207495.88
6516,2022-11-25,Current,0,605454.02
12547,2024-01-03,Current,0,40121.26
5709,2024-10-17,Current,0,209140.45
10092,2023-08-06,Current,0,109148.21
13071,2023-07-15,Current,0,235798.78
6607,2024-07-08,Current,0,485931.31
11440,2023-10-09,Current,0,258219.74
1697,2024-03-14,Current,0,431612.21
5079,2023-08-21,Current,0,97391.27
6863,2024-12-24,Current,0,134032.19
21746,2022-11-13,Current,0,337011.21
1118,2025-11-14,Current,0,291437.14
20303,2023-03-08,Current,0,252076.77
8906,2022-12-19,Current,0,269956.87
19919,2024-03-11,Current,0,736919.14
1564,2025-06-11,Current,0,88621.97
3326,2024-12-10,Current,0,104156.7
7733,2024-10-16,Default,131,604423.77
5370,2025-05-15,Late 30,47,766940.71
14743,2024-12-13,Current,0,9996.68
16180,2023-04-30,Current,0,305488.81
14531,2023-08-13,Current,0,454957.88
13041,2024-07-08,Late 30,47,338383.11
3152,2023-02-21,Current,0,529071.11
3007,2025-09-25,Current,0,33588.61
14027,2025-04-01,Default,116,441987.05
15998,2024-08-09,Current,0,284552.96
6517,2023-05-23,Current,0,114203.08
24543,2023-01-15,Current,0,134496.56
11629,2022-07-30,Current,0,234671.31
20161,2023-09-28,Current,0,28395.29
24729,2025-02-14,Late 60,86,22943.89
15776,2024-11-30,Current,0,27378.12
24898,2023-04-17,Current,0,59031.66
1332,2024-02-03,Late 60,82,477378.23
15165,2023-01-10,Current,0,250322.49
13334,2022-12-09,Current,0,714085.87
11232,2023-09-29,Current,0,469993.31
24328,2023-06-21,Current,0,82211.03
15323,2025-05-16,Late 30,31,352729.33
16939,2025-02-17,Current,0,29512.99
1420,2024-09-10,Current,0,23860.16
12555,2024-11-30,Late 30,38,412537.18
8119,2024-02-06,Current,0,217724.76
19074,2023-02-17,Current,0,750935.53
21993,2024-08-03,Late 30,52,313640.72
24000,2023-09-04,Late 30,47,175572.57
7579,2024-02-04,Current,0,40351.76
4545,2024-07-10,Current,0,102089.82
5619,2022-05-27,Current,0,129750.98
12280,2022-09-07,Current,0,125763.74
13633,2025-02-23,Current,0,343291.66
21092,2022-12-04,Current,0,144310.8
6350,2025-02-03,Current,0,460728.6
14521,2024-07-13,Current,0,326046.06
22979,2025-02-06,Current,0,96121.67
7968,2023-04-24,Current,0,358691.73
6266,2024-10-14,Current,0,690471.42
23200,2024-08-15,Late 60,63,272200.96
19705,2023-03-23,Current,0,36608.46
13408,2023-12-12,Current,0,599318.98
19334,2024-08-01,Current,0,34803.93
18858,2024-05-25,Late 60,85,108238.32
9777,2023-07-05,Current,0,216601.7
15352,2024-03-18,Current,0,429465.18
7003,2024-04-18,Current,0,315947.35
4752,2024-10-19,Late 60,63,475563.45
21863,2022-02-15,Late 30,58,268486.73
21513,2024-06-03,Current,0,288588.83
1854,2023-07-18,Current,0,209859.58
23279,2024-09-11,Current,0,791533.66
24280,2022-07-01,Current,0,243710.19
25596,2024-01-15,Current,0,101938.49
22812,2024-03-20,Current,0,215897.08
9473,2023-09-10,Current,0,507322.01
10698,2024-08-29,Current,0,128849.68
12347,2022-11-24,Current,0,235106.67
25916,2024-09-07,Late 60,79,99555.53
16587,2023-08-11,Late 30,31,65221.33
8808,2022-11-24,Current,0,581363.42
24038,2023-12-03,Current,0,561575.84
2669,2023-10-13,Current,0,247245.31
1628,2025-01-26,Current,0,592502.33
6753,2023-08-11,Late 60,63,412149.67
20771,2022-09-09,Current,0,160949.63
4835,2025-04-19,Current,0,478772.6
18407,2024-09-16,Current,0,523947.7
5786,2024-03-26,Late 60,77,358292.22
25459,2024-07-10,Late 30,32,368716.31
21248,2024-02-15,Current,0,553839.2
18628,2023-11-29,Current,0,505215.68
18678,2024-06-05,Current,0,765690.15
16050,2025-06-12,Current,0,19850.18
8246,2023-08-25,Current,0,25629.41
19041,2024-03-14,Current,0,99213.72
12042,2024-03-08,Current,0,8793.11
5324,2023-11-08,Current,0,3728.72
4956,2022-11-03,Current,0,262678.47
16210,2024-07-03,Current,0,54446.85
12424,2024-04-01,Current,0,117196.88
24863,2025-11-09,Current,0,21282.6
1084,2025-03-10,Current,0,67810.86
6525,2023-09-24,Current,0,433817.24
5865,2025-06-08,Late 30,45,639638.34
22320,2023-01-26,Default,92,580949.95
20946,2025-03-08,Current,0,47750.73
3263,2023-12-28,Current,0,220798.44
8657,2023-12-23,Current,0,442445.38
14805,2024-04-04,Current,0,401875.48
1394,2025-08-17,Current,0,366800.07
16457,2024-10-15,Current,0,153370.95
19264,2023-11-15,Current,0,286688.2
4920,2024-05-21,Late 30,53,219458.56
19231,2023-05-17,Default,169,149962.11
4994,2023-03-11,Current,0,118222.84
24367,2025-06-13,Current,0,189459.99
2157,2023-12-08,Current,0,214680.26
24045,2024-11-04,Current,0,269508.63
12361,2024-10-20,Current,0,235287.5
15101,2024-12-23,Current,0,356566.36
16627,2023-08-28,Current,0,879883.55
18620,2025-01-28,Current,0,48056.43
5350,2023-12-05,Late 60,61,31844.6
18397,2024-10-28,Current,0,646482.7
13975,2024-10-15,Current,0,62226.46
23806,2024-02-18,Current,0,252996.8
14802,2024-07-09,Late 30,56,12126.81
7413,2023-06-15,Current,0,298159.73
18364,2024-01-22,Current,0,155347.34
4841,2023-08-24,Current,0,16883.35
10275,2023-11-07,Late 30,50,438659.93
3840,2024-03-19,Current,0,547321.76
18463,2023-04-11,Late 30,54,128225.04
4051,2024-01-18,Current,0,74921.85
20776,2024-09-27,Current,0,201817.1
23336,2024-08-13,Current,0,135969.88
7029,2023-11-26,Late 30,47,721400.49
22175,2023-08-02,Late 30,49,262583.25
2135,2023-12-20,Default,159,88439.68
11548,2024-03-19,Current,0,131256.19
3601,2023-10-20,Current,0,90019.08
25906,2023-11-27,Current,0,539744.61
1574,2024-05-16,Current,0,156714.37
1468,2024-09-15,Current,0,141954.47
5475,2024-02-22,Current,0,265948.25
10036,2022-08-25,Late 30,44,114920.0
11200,2023-11-04,Late 30,33,486707.99
5954,2024-07-16,Current,0,173766.54
1854,2023-06-08,Current,0,298656.01
23072,2022-11-01,Current,0,29793.69
23731,2022-12-02,Current,0,15007.09
1285,2024-06-19,Current,0,146650.3
24755,2023-01-03,Current,0,362169.19
23085,2023-06-22,Current,0,100853.66
9856,2024-08-03,Current,0,611602.18
3968,2025-01-20,Current,0,98618.37
14286,2024-10-04,Current,0,140707.89
3766,2024-03-27,Current,0,75269.5
7141,2023-07-08,Current,0,523771.76
9523,2024-08-02,Late 30,59,234534.06
13863,2022-07-27,Current,0,75862.33
20018,2024-08-30,Current,0,155536.03
17246,2023-06-15,Current,0,158441.65
15931,2023-12-05,Current,0,18676.66
13356,2025-06-16,Current,0,615854.05
10221,2024-07-06,Current,0,142252.82
4947,2024-06-09,Current,0,226339.92
4732,2024-03-26,Current,0,535445.78
6574,2025-07-14,Current,0,903000.81
18537,2024-02-27,Late 30,38,362622.01
19886,2024-02-04,Current,0,9012.31
15396,2024-06-21,Current,0,77944.01
24286,2025-05-01,Late 30,39,236047.03
18059,2023-09-06,Current,0,10323.48
9883,2024-03-15,Current,0,34302.42
18591,2024-10-29,Current,0,175665.72
9240,2024-09-06,Current,0,273285.08
12931,2024-07-24,Current,0,243671.86
8691,2024-02-19,Current,0,274428.22
17309,2024-08-19,Current,0,409102.96
23047,2024-10-09,Current,0,192320.71
23660,2024-05-27,Current,0,118760.69
25593,2023-02-27,Late 30,55,31638.54
17205,2024-01-31,Current,0,338281.98
21165,2024-09-03,Late 30,44,165875.17
13823,2025-01-11,Current,0,137489.22
2884,2022-05-28,Late 30,41,314015.43
8077,2023-12-08,Current,0,5493.88
11178,2022-10-21,Current,0,23234.43
14723,2025-03-23,Current,0,360411.93
3619,2024-04-22,Current,0,683961.66
1419,2022-09-18,Current,0,109824.28
22674,2024-10-22,Current,0,253187.99
21595,2024-05-05,Current,0,516949.48
11479,2023-05-29,Current,0,94951.45
6657,2023-02-03,Current,0,547378.29
14466,2023-07-19,Current,0,27698.45
16679,2024-06-21,Late 30,41,331732.78
2172,2023-01-27,Default,117,248185.69
14122,2025-04-29,Current,0,99565.0
19637,2024-12-19,Current,0,718108.53
16945,2022-09-24,Current,0,46647.89
13838,2024-04-22,Current,0,302658.97
9250,2024-12-11,Current,0,146838.56
15041,2024-12-06,Current,0,325047.19
18340,2023-12-07,Current,0,22584.47
14756,2024-06-20,Late 30,41,235433.54
10274,2024-06-05,Current,0,222823.54
4848,2024-11-28,Current,0,319916.02
13191,2024-04-05,Current,0,558981.84
21449,2024-03-24,Current,0,654951.57
3951,2024-11-11,Default,99,59071.37
17480,2023-09-27,Current,0,307356.32
2283,2022-10-17,Current,0,136743.28
3285,2022-04-15,Current,0,172335.25
24913,2022-04-10,Current,0,424164.78
13815,2023-02-16,Current,0,36501.46
13374,2023-05-14,Current,0,244295.46
22553,2023-06-08,Current,0,98323.02
21875,2023-02-19,Current,0,64864.32
25892,2023-11-27,Current,0,507364.32
3830,2023-05-03,Late 30,38,18453.23
25746,2024-08-19,Late 60,65,68250.83
7526,2025-03-18,Default,130,181724.19
15602,2024-04-01,Current,0,225911.09
8054,2024-07-13,Current,0,434318.54
23155,2024-10-02,Current,0,118360.94
3293,2025-09-30,Current,0,253558.44
1183,2024-11-12,Current,0,199515.88
14459,2024-03-23,Current,0,390913.08
22130,2023-06-09,Current,0,757922.97
18784,2023-01-25,Current,0,266674.99
2225,2022-06-21,Current,0,159652.92
4288,2023-04-25,Current,0,220225.33
24933,2022-10-25,Current,0,353373.08
21791,2024-05-05,Current,0,650896.99
3940,2023-02-26,Default,147,8483.28
24516,2023-01-20,Default,144,4873.35
1761,2022-04-24,Current,0,34627.36
11494,2024-05-11,Current,0,239751.12
23557,2024-05-08,Current,0,510121.57
6784,2024-02-18,Current,0,598395.87
8668,2023-06-12,Current,0,55899.17
7457,2024-05-03,Current,0,524198.4
17761,2024-03-13,Current,0,306686.84
3591,2024-08-26,Current,0,110710.29
6166,2024-08-12,Current,0,779494.68
20392,2025-07-21,Current,0,177027.92
25958,2023-04-05,Current,0,435072.5
20578,2025-06-12,Current,0,21722.38
11863,2024-10-04,Current,0,500473.6
21345,2024-06-26,Current,0,382365.56
8627,2022-12-07,Current,0,14912.07
11845,2024-07-25,Current,0,432448.47
12969,2023-03-20,Current,0,129689.13
6498,2024-11-19,Current,0,123473.74
14593,2023-06-21,Late 30,52,215202.76
10892,2023-05-02,Current,0,628934.11
18078,2025-04-26,Current,0,331842.98
17049,2024-03-15,Current,0,137016.53
21596,2024-06-06,Current,0,524398.93
6630,2023-09-07,Current,0,213387.24
11914,2024-02-23,Current,0,141321.55
20899,2024-12-26,Current,0,236376.1
25267,2024-04-18,Current,0,24698.83
6894,2024-04-02,Current,0,18621.63
5086,2024-04-25,Current,0,122279.93
3254,2024-12-05,Late 30,58,640261.03
6168,2024-01-31,Default,127,487841.54
22861,2024-04-28,Current,0,511323.05
6646,2024-03-10,Current,0,102339.85
5517,2023-11-28,Default,149,356132.68
20442,2024-05-06,Current,0,510049.23
11710,2023-05-26,Current,0,632389.98
6580,2023-02-12,Current,0,7174.12
13494,2023-05-28,Current,0,118357.86
21175,2024-09-17,Late 60,81,477859.58
18134,2024-02-07,Late 60,78,187343.54
5752,2025-10-26,Current,0,638838.55
10003,2024-07-14,Current,0,305408.7
8263,2025-03-11,Current,0,76525.71
1822,2023-01-14,Current,0,100471.08
4748,2024-06-14,Late 30,59,185458.56
22641,2025-03-24,Current,0,402809.59
11945,2024-08-17,Current,0,432837.59
19602,2024-08-17,Late 60,66,210925.02
21473,2023-07-20,Current,0,158391.7
15012,2024-05-22,Late 30,48,124718.27
1368,2024-01-01,Current,0,358042.03
13208,2024-10-03,Current,0,661716.92
10590,2024-06-27,Current,0,105475.82
14917,2023-11-30,Current,0,250240.87
13526,2023-09-23,Current,0,221608.64
19357,2024-07-17,Late 30,40,527512.48
21101,2024-11-03,Current,0,308084.96
13277,2024-11-28,Current,0,449810.75
13781,2024-04-22,Current,0,152546.04
2028,2023-04-30,Default,166,355281.9
2329,2023-07-25,Late 30,59,248145.82
20151,2023-02-09,Current,0,280869.06
3940,2024-09-03,Current,0,14542.68
24211,2025-03-17,Late 60,74,417656.45
25280,2023-05-02,Late 30,53,84761.03
22886,2024-12-02,Current,0,682147.22
25528,2024-08-14,Late 60,77,504134.28
11015,2023-04-27,Default,156,370476.29
10343,2024-08-06,Default,105,362377.11
22622,2023-07-11,Current,0,611416.6
15394,2023-12-29,Current,0,724840.17
2435,2024-08-19,Current,0,152239.36
21859,2023-09-10,Current,0,303069.68
3717,2023-02-11,Current,0,159913.16
8738,2024-07-17,Current,0,629686.07
2926,2023-04-28,Current,0,570577.16
13835,2024-03-10,Current,0,117648.94
5879,2023-11-06,Current,0,42883.27
17617,2022-11-30,Current,0,332617.02
13918,2023-09-17,Current,0,173692.89
11065,2025-07-26,Current,0,292556.97
9222,2024-07-25,Current,0,42029.04
17007,2024-02-29,Current,0,261429.91
25770,2024-02-21,Late 30,36,318588.42
12299,2023-03-29,Current,0,58528.63
14053,2024-09-05,Current,0,81799.34
4387,2025-01-03,Current,0,109210.23
7484,2023-05-10,Current,0,133343.6
3240,2023-06-10,Late 60,84,96063.3
22971,2024-03-09,Current,0,561883.16
21017,2025-01-12,Current,0,148551.31
18329,2025-01-31,Current,0,262194.14
6474,2022-06-14,Current,0,68185.45
18065,2023-07-08,Current,0,264560.57
10914,2025-08-02,Current,0,65545.45
3148,2024-08-14,Current,0,327867.68
15093,2024-11-12,Current,0,36823.1
19838,2025-05-23,Current,0,102898.41
22183,2024-05-29,Current,0,16472.61
1836,2022-05-30,Current,0,31917.7
21844,2023-07-20,Current,0,81961.18
11761,2024-10-02,Current,0,131775.9
23027,2023-11-24,Current,0,575550.62
14524,2023-08-23,Current,0,723275.26
22231,2025-03-10,Current,0,221366.46
15789,2022-05-28,Current,0,116354.02
10351,2024-12-09,Current,0,447994.68
10915,2025-07-06,Current,0,332504.7
11437,2023-09-26,Current,0,265112.1
9390,2024-08-28,Current,0,341938.3
21246,2025-01-26,Late 30,56,780479.06
18950,2024-06-04,Current,0,413334.65
15663,2024-04-02,Late 30,33,754086.53
6180,2025-02-25,Current,0,146397.66
7611,2024-04-02,Current,0,49445.38
20496,2025-04-27,Late 30,59,47386.38
21735,2023-10-02,Late 60,83,114573.16
