application_id,customer_id,credit_score,ltv_ratio,loan_amount,tier,interest_rate,origination_date
1067,776,591,0.5545,495627.63,C,8.36,2022-10-15
1068,12207,756,0.7802,538089.21,D,4.31,2022-06-17
1069,8227,625,0.8512,412943.03,C,5.87,2022-12-13
1070,3153,750,0.5556,465909.05,B,10.15,2023-03-27
1071,10148,709,0.7914,45615.58,B,11.21,2022-07-01
1072,1586,824,0.9315,926524.5,A,11.38,2022-08-12
1073,3944,782,0.9353,40267.03,C,4.97,2023-09-24
1074,7556,805,0.5727,775084.28,B,12.17,2022-10-07
1075,3074,659,0.8419,305286.04,A,4.16,2022-12-18
1076,1022,614,0.881,121131.74,A,14.46,2022-12-14
1077,11654,631,0.9,613597.26,A,12.24,2022-04-28
1078,10806,740,0.6457,709882.12,C,11.42,2022-11-25
1079,3844,663,0.6216,633899.62,D,5.6,2023-11-09
1080,7990,605,0.5215,580322.91,A,4.7,2022-10-19
1081,9693,804,0.6798,540824.68,A,4.76,2022-09-16
1082,6874,733,0.5558,545648.13,C,5.77,2023-10-09
1083,5676,674,0.8538,866766.88,C,13.02,2022-02-10
1084,162,804,0.5643,99252.12,A,10.92,2023-08-06
1085,4298,846,0.8685,165795.06,D,14.62,2023-08-09
1086,10174,620,0.5484,814524.47,A,4.11,2023-05-31
1087,996,712,0.7163,310009.53,C,11.47,2023-08-25
1088,11535,645,0.6731,773844.53,B,13.23,2023-02-13
1089,7630,789,0.7707,359168.99,B,8.77,2023-12-18
1090,11991,732,0.7334,926156.02,A,3.71,2022-07-01
1091,9468,751,0.7694,288520.33,C,10.78,2022-12-11
1092,1017,638,0.5004,432627.41,B,10.45,2023-04-20
1093,7870,763,0.5574,167253.06,A,14.32,2023-03-26
1094,6440,759,0.7327,670017.69,B,12.9,2023-02-15
1095,7893,591,0.6033,408852.29,A,9.53,2023-08-01
1096,6864,647,0.5343,941792.14,A,4.36,2023-05-02
1097,7917,781,0.598,25590.53,A,3.67,2022-11-30
1098,8530,585,0.8509,393774.87,A,13.83,2023-09-23
1099,879,594,0.7438,33393.32,C,8.69,2023-05-07
1100,9269,621,0.5855,335751.11,A,10.7,2022-04-08
1101,4888,610,0.5072,386442.79,B,11.59,2022-10-05
1102,12186,760,0.6609,265555.03,A,9.66,2022-04-09
1103,4860,841,0.6609,262975.8,B,13.34,2023-08-05
1104,6332,600,0.8308,267458.93,C,3.72,2022-09-27
1105,8572,761,0.9137,273593.98,A,12.17,2023-07-20
1106,8685,763,0.6674,289463.3,C,12.15,2023-01-10
1107,7209,823,0.8097,852784.96,D,5.78,2022-06-03
1108,5277,728,0.7857,48663.51,A,4.45,2022-01-21
1109,2063,835,0.6899,989020.7,C,10.66,2023-06-16
1110,12077,679,0.5297,288707.93,A,6.99,2022-03-03
1111,65,634,0.7131,37666.69,B,3.18,2023-03-22
1112,8007,765,0.6594,183407.58,A,8.27,2023-03-29
1113,2569,665,0.7476,942447.61,D,10.66,2023-06-29
1114,5464,753,0.5564,997548.24,C,14.01,2023-02-13
1115,2028,601,0.8259,254285.54,B,8.19,2023-10-23
1116,2696,823,0.8545,233194.78,A,4.73,2023-07-01
1117,9688,639,0.6748,837729.36,A,8.17,2023-11-13
1118,5259,683,0.5789,915069.8,A,12.17,2023-12-05
1119,5619,718,0.7806,653857.54,A,4.16,2023-03-06
1120,6737,738,0.9301,936462.11,A,5.23,2023-07-29
1121,392,811,0.8152,950512.35,D,6.29,2023-07-02
1122,5893,656,0.5556,762091.37,C,8.48,2022-04-24
1123,3562,597,0.6787,355221.25,A,14.0,2022-03-28
1124,10471,601,0.9119,157965.08,A,12.18,2022-10-24
1125,6185,763,0.7855,522495.87,A,10.49,2022-07-09
1126,3100,724,0.5662,296713.99,C,12.69,2023-08-07
1127,6279,617,0.8261,127316.81,B,13.6,2023-02-18
1128,8393,722,0.6591,400056.49,A,8.55,2022-06-03
1129,3105,592,0.7203,484968.09,D,11.91,2022-01-05
1130,7216,765,0.6868,665366.29,A,14.1,2022-05-20
1131,2455,846,0.8266,228927.98,C,9.38,2023-04-16
1132,11838,848,0.5981,869808.75,D,12.16,2022-02-16
1133,8997,676,0.6748,193587.37,D,14.79,2022-06-04
1134,2732,580,0.835,997257.46,B,8.67,2022-01-15
1135,10966,606,0.8172,561310.36,A,11.06,2022-06-26
1136,8155,615,0.5908,155373.94,D,8.36,2022-03-22
1137,9763,739,0.6578,836049.72,C,11.59,2022-12-22
1138,5057,610,0.5065,261193.86,C,7.66,2022-11-28
1139,8111,706,0.7386,196429.89,D,4.53,2022-02-15
1140,10883,841,0.6264,143444.84,A,13.66,2023-01-03
1141,3841,789,0.5053,555385.84,A,11.53,2023-03-09
1142,1029,729,0.6911,880533.22,A,14.94,2023-09-28
1143,7386,610,0.9171,898139.0,D,11.72,2023-10-15
1144,503,679,0.9155,787762.4,B,13.14,2023-06-29
1145,6911,798,0.6674,585632.79,A,14.48,2023-05-12
1146,9063,832,0.7021,534584.85,A,3.71,2022-02-10
1147,6939,750,0.6092,380034.03,B,13.28,2022-04-20
1148,4489,836,0.5307,53625.73,B,4.33,2023-05-29
1149,207,636,0.8123,838222.97,A,13.54,2022-04-08
1150,5135,588,0.86,999477.52,C,12.28,2023-04-19
1151,5978,584,0.896,921638.53,C,8.59,2022-05-14
1152,7722,693,0.9209,933708.17,D,12.76,2023-10-19
1153,7036,844,0.9122,339890.8,B,7.82,2023-09-05
1154,1485,752,0.5123,108312.78,B,11.74,2022-06-18
1155,7859,799,0.9401,872867.35,C,5.38,2022-12-29
1156,864,784,0.6708,766171.78,B,3.85,2022-09-01
1157,2791,603,0.8987,396470.32,C,10.99,2023-10-19
1158,7409,749,0.6983,835241.78,B,7.96,2022-09-06
1159,8756,682,0.69,147348.32,A,5.65,2023-04-22
1160,5117,639,0.505,654573.35,D,4.95,2023-03-16
1161,12384,665,0.5236,953850.05,B,13.49,2022-02-25
1162,6020,834,0.8021,911314.15,C,7.18,2022-05-05
1163,1758,744,0.9219,763241.25,B,12.92,2022-07-18
1164,7575,746,0.601,273916.96,A,5.08,2022-04-03
1165,6375,663,0.5423,111538.05,A,8.53,2023-06-04
1166,6893,781,0.5962,331488.75,D,8.25,2022-03-13
1167,1679,669,0.5955,621179.9,A,5.77,2023-06-12
1168,3243,668,0.6319,323340.85,A,5.36,2022-11-26
1169,4637,699,0.5426,418983.21,C,8.94,2023-02-12
1170,1060,735,0.606,409570.21,B,8.46,2023-11-09
1171,6669,767,0.9146,342468.46,B,12.41,2022-11-18
1172,9915,767,0.9006,924217.06,A,8.69,2023-10-21
1173,11507,841,0.6423,326753.05,A,6.98,2022-01-09
1174,3158,631,0.9486,993592.0,B,8.77,2022-06-10
1175,5916,719,0.6343,217240.79,C,14.02,2023-09-12
1176,10818,598,0.8248,873898.76,B,4.79,2022-06-06
1177,10922,654,0.7898,735013.77,A,14.0,2023-11-01
1178,9790,809,0.529,672117.02,B,11.37,2023-03-11
1179,11253,709,0.654,450894.75,A,10.99,2022-04-06
1180,2694,634,0.9282,818421.25,D,8.2,2023-02-07
1181,3628,850,0.5229,497296.71,A,7.33,2023-08-03
1182,9556,679,0.5787,144184.92,B,11.96,2023-04-14
1183,10174,648,0.9369,287692.31,B,10.32,2023-10-21
1184,5451,596,0.5179,190605.12,A,10.83,2022-05-07
1185,1664,695,0.701,573917.27,A,10.43,2022-05-31
1186,9722,731,0.9133,658851.44,A,3.71,2022-08-20
1187,10231,695,0.9247,342575.32,A,9.19,2023-03-23
1188,5593,609,0.9407,49120.65,C,7.33,2022-10-14
1189,11495,630,0.7166,662150.24,B,12.62,2023-09-28
1190,10430,639,0.5389,71340.17,A,10.06,2023-06-08
1191,7393,808,0.8477,966016.76,A,8.23,2022-05-08
1192,1307,838,0.819,888404.97,A,14.91,2022-02-12
1193,12222,584,0.7608,832572.79,A,11.08,2022-09-10
1194,6777,607,0.8997,373867.53,A,13.59,2023-03-02
1195,10868,833,0.9102,747542.97,C,14.06,2023-05-12
1196,5865,810,0.8075,55394.13,A,11.91,2022-12-12
1197,9475,779,0.5504,98738.34,A,8.03,2023-11-09
1198,7527,850,0.543,499600.69,D,8.91,2023-10-08
1199,8902,625,0.6839,590897.7,C,4.9,2022-02-23
1200,5576,607,0.6317,769281.2,C,10.4,2022-01-09
1201,5531,586,0.5598,304737.11,A,9.15,2023-07-22
1202,4414,811,0.775,547178.9,A,5.57,2022-02-03
1203,3749,778,0.8076,71917.15,B,3.49,2022-06-02
1204,664,673,0.8141,476159.07,A,13.43,2023-11-06
1205,1999,661,0.5789,674547.84,A,3.37,2022-04-22
1206,7995,667,0.6376,989745.18,A,7.57,2023-12-14
1207,11638,765,0.5896,770280.78,D,9.72,2023-01-15
1208,11936,822,0.7706,995526.91,B,9.35,2022-12-04
1209,1496,647,0.7552,502936.47,C,9.41,2022-10-11
1210,3305,766,0.7265,438622.78,B,5.72,2022-07-01
1211,3764,818,0.6332,835864.3,C,6.97,2022-01-12
1212,5233,797,0.6067,467761.25,A,3.07,2022-08-02
1213,1854,687,0.9007,758576.74,A,14.1,2023-01-19
1214,6586,617,0.522,994558.03,A,10.27,2023-06-21
1215,1292,589,0.7954,727349.95,A,12.82,2023-11-13
1216,3582,605,0.5088,24159.83,C,11.67,2022-08-09
1217,11650,627,0.5872,188480.51,B,9.76,2022-07-11
1218,7555,593,0.6303,283505.37,B,9.16,2023-10-11
1219,7281,679,0.8989,823914.12,A,8.36,2022-05-04
1220,1637,766,0.562,932811.95,A,9.63,2022-06-28
1221,3697,591,0.922,653200.65,A,5.42,2022-01-28
1222,11192,746,0.867,97156.8,C,7.75,2022-07-16
1223,11345,701,0.8056,504529.15,B,9.61,2023-10-28
1224,699,674,0.6853,860451.96,B,11.8,2022-02-17
1225,10353,604,0.9074,368563.79,A,12.43,2022-03-25
1226,12290,596,0.7376,74620.97,A,13.35,2022-10-04
1227,4738,608,0.667,781784.87,A,7.2,2022-05-10
1228,855,651,0.7635,660548.5,C,10.08,2023-02-01
1229,8165,849,0.6045,472301.63,C,9.45,2022-04-02
1230,5856,829,0.6228,851308.07,D,7.83,2023-09-13
1231,7393,723,0.9137,851215.17,A,7.03,2023-12-21
1232,6529,802,0.8573,703949.87,C,3.11,2022-05-06
1233,11667,654,0.7311,942895.12,A,5.13,2023-07-24
1234,5250,681,0.6875,459404.6,B,4.65,2022-11-18
1235,5173,599,0.8634,731639.61,B,6.61,2022-09-04
1236,1708,696,0.7568,832374.96,A,7.32,2023-01-11
1237,10970,753,0.6868,639238.47,C,6.36,2023-07-08
1238,5792,752,0.732,557579.21,B,12.51,2023-03-30
1239,9926,583,0.6047,734678.29,B,5.38,2022-08-12
1240,5536,727,0.5909,360960.23,B,6.16,2022-02-18
1241,4932,693,0.9451,372765.98,C,9.03,2023-11-28
1242,3511,746,0.9363,976847.19,B,6.41,2023-06-16
1243,203,697,0.6894,127649.34,B,13.75,2023-02-09
1244,11448,679,0.7319,843577.29,B,10.34,2023-12-29
1245,4219,754,0.8722,790858.46,A,7.05,2023-06-28
1246,8959,738,0.8266,63618.68,A,8.43,2022-04-21
1247,4390,806,0.5448,706467.35,B,8.07,2022-04-27
1248,2328,617,0.6686,102944.6,A,13.69,2023-04-08
1249,8005,777,0.6126,218396.31,A,10.01,2022-04-23
1250,2932,715,0.9467,958632.06,B,7.46,2022-04-26
1251,7778,683,0.8369,368529.04,C,8.94,2023-09-11
1252,198,772,0.5215,66233.8,B,7.35,2022-02-25
1253,7126,829,0.905,525986.13,B,12.23,2022-04-24
1254,1931,592,0.9176,214349.29,A,3.22,2023-07-11
1255,11775,634,0.65,432065.9,C,8.97,2023-02-26
1256,6288,664,0.7889,110641.39,A,5.97,2023-02-24
1257,8801,688,0.8069,105009.2,A,5.79,2022-04-27
1258,11465,622,0.8283,509101.57,C,5.22,2023-10-18
1259,9340,650,0.8121,342518.5,D,9.01,2022-11-20
1260,4283,847,0.7519,163717.62,A,4.28,2023-05-20
1261,11590,638,0.9292,584567.32,A,9.24,2022-12-19
1262,2512,623,0.7306,71570.2,A,10.24,2022-08-04
1263,9987,593,0.5499,755211.45,C,13.78,2023-06-10
1264,660,691,0.5362,60824.75,A,12.19,2022-03-29
1265,2812,807,0.5083,970667.34,A,10.8,2022-01-16
1266,7099,748,0.6926,738268.47,B,12.68,2022-02-11
1267,6547,825,0.623,898240.56,B,7.22,2023-09-25
1268,9562,845,0.9028,445549.59,A,9.39,2023-04-23
1269,1987,822,0.8902,67500.23,B,4.03,2022-08-03
1270,8339,737,0.877,237145.71,C,9.27,2023-01-15
1271,11412,597,0.8903,971384.02,A,7.67,2023-10-24
1272,2912,662,0.6339,622702.67,A,13.96,2023-11-11
1273,1735,810,0.6918,235592.95,A,6.62,2022-06-14
1274,1844,832,0.6403,487989.41,B,11.24,2022-12-04
1275,8681,746,0.5387,324266.95,D,11.25,2023-12-18
1276,2977,621,0.9158,494820.57,B,11.56,2022-03-25
1277,1960,828,0.7772,838257.91,A,11.17,2022-10-17
1278,5760,827,0.5596,230329.94,A,13.59,2022-07-15
1279,6695,599,0.5927,405097.15,C,10.15,2022-01-04
1280,2386,621,0.7028,451629.08,C,13.26,2023-12-17
1281,11112,666,0.5234,591182.9,A,11.08,2022-06-28
1282,4737,840,0.6224,86951.22,A,13.58,2022-08-12
1283,1803,819,0.8166,214941.47,B,11.74,2022-06-16
1284,8156,746,0.9142,403854.36,C,8.49,2022-02-21
1285,8121,798,0.9179,811247.31,A,6.25,2022-08-22
1286,6617,712,0.734,194973.67,C,13.91,2023-12-01
1287,5535,786,0.6405,882708.55,A,4.59,2022-11-10
1288,4062,630,0.9143,345772.37,A,13.43,2023-10-25
1289,11562,685,0.854,261300.95,C,10.83,2022-11-16
1290,263,763,0.7642,415288.48,A,10.32,2022-12-26
1291,6288,780,0.8755,558170.66,A,9.44,2023-02-02
1292,8816,590,0.7065,736634.41,C,6.51,2022-06-16
1293,9209,833,0.5505,482172.61,B,10.3,2022-09-30
1294,11836,729,0.9222,819822.94,A,8.72,2022-02-17
1295,2050,675,0.7403,820555.48,B,7.79,2023-03-01
1296,5424,685,0.8129,11722.55,B,10.7,2022-03-01
1297,11916,722,0.6765,793667.27,B,3.98,2022-11-25
1298,4549,745,0.5611,448326.03,A,10.26,2022-11-07
1299,3109,580,0.6223,967416.35,B,14.97,2022-01-03
1300,12283,625,0.5197,822024.22,C,3.51,2022-06-24
1301,7159,821,0.5394,390167.07,D,8.69,2023-05-01
1302,10249,582,0.5922,638286.51,B,8.44,2022-03-18
1303,7401,721,0.7525,202301.34,D,3.89,2022-12-09
1304,3171,640,0.9468,297445.96,A,8.92,2023-12-19
1305,9875,804,0.8797,210084.38,A,4.8,2022-07-29
1306,2256,749,0.5386,753644.75,C,12.87,2022-09-23
1307,1155,713,0.8791,18133.86,D,13.8,2023-06-22
1308,4500,620,0.7413,413200.38,C,12.89,2023-12-11
1309,6296,810,0.7971,839190.34,B,14.14,2022-10-06
1310,6198,805,0.5584,711989.23,C,10.77,2022-08-20
1311,11384,718,0.6779,427536.87,A,13.12,2022-05-13
1312,9889,689,0.8979,636712.92,A,8.99,2022-12-25
1313,12184,636,0.6914,437479.92,D,12.48,2022-12-24
1314,1649,702,0.5572,845567.44,A,14.36,2022-10-11
1315,5540,819,0.64,576875.59,A,7.57,2022-07-23
1316,9638,665,0.5997,636291.96,C,13.01,2022-03-30
1317,4200,755,0.8091,988735.02,B,8.69,2022-10-15
1318,12116,642,0.91,772406.23,C,10.35,2023-11-17
1319,8446,618,0.8301,293099.9,D,13.59,2023-04-22
1320,11376,717,0.8796,775244.39,A,13.57,2022-09-08
1321,2558,820,0.8626,929201.88,B,11.91,2022-03-14
1322,5593,805,0.5066,302125.51,A,6.75,2022-11-10
1323,99,785,0.556,819126.36,A,4.04,2022-04-17
1324,2201,743,0.6905,245443.22,A,14.84,2022-07-15
1325,2962,606,0.5504,439693.07,D,9.82,2023-10-09
1326,4974,762,0.8307,693271.2,D,4.33,2023-02-13
1327,4434,777,0.5316,251092.25,B,14.51,2022-05-12
1328,11970,686,0.6873,195422.34,C,8.49,2022-03-05
1329,2870,768,0.6765,467918.22,A,14.55,2023-12-21
1330,11427,615,0.7446,785369.52,A,7.38,2022-05-04
1331,11984,664,0.7832,599904.58,B,13.91,2022-04-07
1332,957,734,0.9261,704202.45,B,13.24,2022-11-21
1333,12260,748,0.622,692384.35,D,8.66,2023-08-03
1334,8353,614,0.7997,549053.93,C,6.75,2022-04-03
1335,5700,763,0.5158,322454.07,C,11.89,2022-10-02
1336,6945,678,0.5005,427494.11,C,13.2,2023-09-02
1337,4494,816,0.5114,386814.27,A,3.51,2023-08-15
1338,9493,701,0.702,88279.02,C,5.7,2023-01-12
1339,4912,602,0.7498,899477.64,A,8.16,2022-10-23
1340,3988,642,0.5028,645436.39,A,5.49,2023-08-01
1341,9720,729,0.6784,858617.11,B,6.26,2023-02-21
1342,6016,774,0.5184,778299.86,A,9.18,2022-03-24
1343,1219,659,0.794,77612.33,B,7.59,2022-08-22
1344,4497,732,0.7841,224143.97,A,14.21,2023-10-31
1345,4736,596,0.8529,951227.29,A,13.1,2023-06-14
1346,11297,618,0.7458,467311.24,C,5.5,2023-10-09
1347,10928,781,0.7803,813820.89,B,14.38,2023-12-17
1348,4556,667,0.6257,579721.97,A,5.6,2022-03-20
1349,9147,649,0.5385,825326.26,A,10.16,2023-10-17
1350,8051,703,0.8318,737262.13,B,6.68,2022-11-07
1351,3447,659,0.7753,286934.13,C,6.42,2023-06-04
1352,1046,624,0.9222,991302.39,B,9.48,2023-07-22
1353,6894,812,0.9452,495615.75,A,14.36,2023-10-22
1354,1694,733,0.8813,589144.21,B,8.03,2022-07-22
1355,3437,759,0.9435,545030.68,A,6.38,2022-07-06
1356,8755,610,0.7914,886330.22,C,6.0,2022-04-28
1357,10678,664,0.5414,287091.04,C,6.71,2023-11-16
1358,5896,624,0.5404,71095.31,A,8.34,2022-06-07
1359,3355,822,0.8632,433811.87,A,13.48,2022-10-19
1360,226,619,0.6066,919135.63,A,6.78,2023-11-06
1361,4894,761,0.5274,444919.29,B,6.27,2022-05-29
1362,7023,660,0.7125,284785.86,A,9.89,2023-04-16
1363,9152,617,0.6416,622311.0,B,10.09,2023-02-03
1364,5601,636,0.7647,740172.25,A,8.35,2022-07-19
1365,11260,609,0.7701,468129.14,B,5.29,2022-01-22
1366,7997,845,0.8067,386227.41,D,5.29,2023-11-28
1367,9008,806,0.7594,370859.38,B,9.24,2023-03-31
1368,7684,633,0.6714,427099.46,A,6.42,2022-01-22
1369,4643,676,0.5107,844244.79,A,4.84,2023-06-22
1370,11313,583,0.9073,487734.86,B,3.32,2022-07-27
1371,7680,670,0.6471,321212.48,A,4.61,2023-07-31
1372,8209,668,0.7282,190491.8,B,12.97,2023-04-26
1373,7340,671,0.7506,289789.98,C,4.87,2023-02-23
1374,9436,729,0.6417,468102.5,A,3.03,2022-06-01
1375,2206,813,0.6388,552335.82,A,7.7,2023-10-17
1376,10717,638,0.6174,625274.41,C,14.14,2022-09-18
1377,1070,764,0.6095,80665.62,C,9.26,2022-02-27
1378,3445,623,0.5137,617039.22,B,3.12,2022-12-26
1379,10758,759,0.9311,358473.24,A,11.51,2023-10-03
1380,1061,655,0.7679,264400.09,B,7.81,2022-04-19
1381,2328,723,0.5486,337749.22,C,12.22,2023-10-21
1382,3421,680,0.7664,786620.87,C,10.16,2022-02-23
1383,302,634,0.6045,805255.18,A,4.67,2022-07-27
1384,12469,768,0.6398,112720.35,C,8.66,2022-08-30
1385,607,656,0.8605,499727.07,C,9.66,2023-09-18
1386,3171,798,0.8986,534203.42,A,9.0,2023-11-20
1387,700,645,0.8149,39912.12,B,12.45,2023-10-04
1388,5089,715,0.9197,719892.6,C,13.2,2022-07-02
1389,9332,813,0.9073,373126.08,C,11.0,2022-02-23
1390,191,778,0.748,423817.75,B,3.45,2022-08-01
1391,10493,845,0.9085,613829.08,B,7.23,2023-02-12
1392,981,622,0.7452,474251.03,A,7.43,2023-05-09
1393,2976,807,0.5469,750470.41,B,5.67,2023-03-30
1394,6103,806,0.8733,599900.03,C,8.13,2023-09-21
1395,1185,642,0.559,233774.56,A,5.25,2023-10-22
1396,3328,750,0.6422,871782.96,B,12.07,2022-03-20
1397,3395,829,0.6709,223634.85,B,13.01,2023-04-11
1398,8320,829,0.8633,716397.42,A,14.21,2022-10-12
1399,10258,817,0.5376,794287.24,A,3.17,2023-09-09
1400,1817,635,0.7002,691399.37,C,9.47,2023-08-15
1401,5855,750,0.6965,427586.46,D,5.51,2023-07-20
1402,6710,613,0.762,879173.44,C,9.37,2022-02-27
1403,570,709,0.6592,334422.72,D,3.85,2022-07-27
1404,5443,709,0.7597,690205.5,A,12.18,2022-07-16
1405,1896,730,0.9437,878886.43,C,6.54,2023-10-02
1406,2734,722,0.5322,163873.65,D,9.8,2023-01-01
1407,3864,697,0.8936,656108.86,A,12.56,2023-10-29
1408,7456,783,0.6389,901949.64,B,8.21,2022-11-11
1409,4015,814,0.7096,112050.46,A,14.91,2022-02-24
1410,11094,596,0.8335,154295.72,A,12.66,2023-02-16
1411,1687,661,0.9095,384473.07,C,8.08,2023-11-03
1412,3010,593,0.5041,994367.66,D,11.46,2023-11-23
1413,7807,660,0.798,231696.43,A,11.04,2023-06-07
1414,155,786,0.5313,331473.04,B,3.52,2022-07-19
1415,10730,783,0.7366,836745.76,D,7.45,2022-10-04
1416,1410,611,0.8374,139435.92,A,9.31,2022-08-22
1417,12250,602,0.5763,996244.32,C,7.98,2023-08-13
1418,785,681,0.8437,741473.05,B,5.18,2023-10-27
1419,11368,741,0.6393,959578.65,A,10.94,2022-05-22
1420,8097,677,0.7747,152954.01,B,14.86,2023-10-13
1421,7561,723,0.7961,240112.95,A,7.09,2023-01-28
1422,7344,683,0.792,377067.09,B,14.52,2023-06-15
1423,7207,750,0.5083,60501.24,A,12.08,2022-06-01
1424,5597,643,0.5685,70084.73,A,6.94,2023-07-12
1425,5802,823,0.8853,904783.21,A,8.04,2022-06-18
1426,2807,650,0.9229,52320.78,A,10.52,2022-03-24
1427,538,704,0.7537,752460.1,A,11.97,2023-11-13
1428,5987,686,0.7686,720465.91,A,11.96,2022-08-01
1429,1842,727,0.8398,82086.46,A,10.69,2022-04-15
1430,10648,771,0.6827,195759.41,A,4.35,2022-04-12
1431,8717,805,0.6476,460269.13,A,13.25,2022-06-26
1432,6972,821,0.8457,645240.61,A,6.21,2023-12-27
1433,5626,742,0.5127,896868.58,A,5.1,2023-05-29
1434,2951,587,0.8984,531563.58,B,5.55,2023-08-19
1435,7993,731,0.6984,937003.11,A,3.49,2023-03-18
1436,12324,674,0.7269,198352.93,A,11.83,2022-03-09
1437,4781,793,0.7854,626552.22,B,3.62,2022-12-19
1438,12308,643,0.6235,846194.03,A,3.5,2022-09-05
1439,2369,644,0.7688,240991.41,B,3.02,2022-02-21
1440,12040,849,0.8119,790659.89,A,3.06,2022-10-14
1441,6656,604,0.5531,406286.33,B,11.16,2022-08-09
1442,8174,679,0.7342,999627.93,A,8.94,2023-12-10
1443,4496,684,0.6482,100635.94,C,11.07,2023-01-23
1444,10894,710,0.7508,557739.59,A,5.78,2023-07-18
1445,9164,598,0.5096,785204.64,B,11.63,2022-01-03
1446,6003,804,0.8342,679434.68,B,6.74,2022-12-30
1447,6615,685,0.5758,510529.08,B,8.97,2022-07-17
1448,9359,633,0.8102,517977.89,A,13.35,2022-12-18
1449,5920,805,0.846,411375.26,A,3.78,2022-10-09
1450,10967,594,0.8387,348877.42,B,13.26,2023-03-16
